23192 Cheryl Abbott 10 31 1990 2 12000 Clown
49512 Karl Walsh 07 26 1979 10 481822 Manager
10559 Mike Gutierrez 02 19 1964 15 125821 Developer
42145 Bill Gates 10 28 1955 10 2000000 CEO
84125 Matt Scott 04 31 1984 2 24000 Janitor
92412 Nouhad Rizk 02 26 1974 20 84349 Proffesor
36512 Travis Wells 05 21 1968 15 125821 Doctor

49512 Karl Walsh 07 26 1979 10 481822 Manager
10559 Mike Gutierrez 02 19 1964 15 125821 Developer
42145 Bill Gates 10 28 1955 10 2000000 CEO
84125 Matt Scott 04 31 1984 2 24000 Janitor
92412 Nouhad Rizk 02 26 1974 20 84349 Proffesor
36512 Travis Wells 05 21 1968 15 125821 Doctor

